product_id,name,category,descripcion,palabras_clave,index
109,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
110,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
111,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
112,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
113,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
114,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
115,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
116,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
117,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
118,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
119,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
120,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
121,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
122,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
123,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
124,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
125,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
126,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
127,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
128,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
129,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
130,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
131,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
132,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
133,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
134,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
135,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
136,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
137,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
138,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
139,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
140,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
141,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
142,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
143,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
144,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
145,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
146,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
147,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
148,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
149,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
150,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
151,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
152,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
153,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
154,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
155,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
156,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
157,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
158,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
159,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
160,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
161,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
162,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
163,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
164,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
165,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
166,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
167,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
168,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
169,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
170,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
171,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
172,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
173,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
174,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
175,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
176,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
177,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
178,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
179,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
180,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
181,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
182,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
183,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
184,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
185,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
186,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
187,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
188,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
189,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
190,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
191,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
